Province_Code,Province_Name,District_Code,District_Name,Constituency_Code,Constituency_Name,Ward_Code,Ward_Name
1,Central,1,Chibombo,1,Katuba,101001001,Kamaila
1,Central,1,Chibombo,1,Katuba,101001002,Katuba
1,Central,1,Chibombo,1,Katuba,101001003,Chunga
1,Central,1,Chibombo,1,Katuba,101001004,Mungule
1,Central,1,Chibombo,1,Katuba,101001005,Cholokelo
1,Central,1,Chibombo,1,Katuba,101001006,Muchenje
1,Central,1,Chibombo,1,Katuba,101001007,Chilochabalenje
1,Central,1,Chibombo,1,Katuba,101001008,Kabile
1,Central,1,Chibombo,2,Keembe,101001008,Kabile
1,Central,1,Chibombo,2,Keembe,101001009,Keembe
1,Central,1,Chibombo,2,Keembe,101001010,Kalola
1,Central,1,Chibombo,2,Keembe,101001011,Chaloshi
1,Central,1,Chibombo,2,Keembe,101001012,Chibombo
1,Central,1,Chibombo,2,Keembe,101001013,Chikobo
1,Central,1,Chibombo,2,Keembe,101001014,Kakoma
1,Central,1,Chibombo,2,Keembe,101001015,Mashikili
1,Central,1,Chibombo,2,Keembe,101001016,Malambanyama
1,Central,1,Chibombo,2,Keembe,101001017,Lunjofwa
1,Central,1,Chibombo,2,Keembe,101001018,Chitanda
1,Central,1,Chibombo,2,Keembe,101001019,Muundu
1,Central,1,Chibombo,2,Keembe,101001020,Ipongo
1,Central,1,Chibombo,2,Keembe,101001021,Itumbwe
1,Central,2,Chisamba,2,Keembe,101001021,Itumbwe
1,Central,2,Chisamba,3,Chisamba,101001021,Itumbwe
1,Central,2,Chisamba,3,Chisamba,101002001,Liteta
1,Central,2,Chisamba,3,Chisamba,101002002,Monang
1,Central,2,Chisamba,3,Chisamba,101002003,Mutenga
1,Central,2,Chisamba,3,Chisamba,101002004,Chikonkomene
1,Central,2,Chisamba,3,Chisamba,101002005,Muswishi
1,Central,2,Chisamba,3,Chisamba,101002006,Mulungushi
1,Central,2,Chisamba,3,Chisamba,101002007,Mwantaya
1,Central,2,Chisamba,3,Chisamba,101002008,Mwapula
1,Central,2,Chisamba,3,Chisamba,101002009,Chamuka
1,Central,2,Chisamba,3,Chisamba,101002010,Kamano
1,Central,2,Chisamba,3,Chisamba,101002011,Chisamba
1,Central,2,Chisamba,3,Chisamba,101002012,Miswa
1,Central,3,Chitambo,3,Chisamba,101002012,Miswa
1,Central,3,Chitambo,4,Chitambo,101002012,Miswa
1,Central,3,Chitambo,4,Chitambo,101003001,Luombwa
1,Central,3,Chitambo,4,Chitambo,101003002,Katonga
1,Central,3,Chitambo,4,Chitambo,101003003,Lulimala
1,Central,3,Chitambo,4,Chitambo,101003004,Mpelembe
1,Central,3,Chitambo,4,Chitambo,101003005,Chipundu
1,Central,3,Chitambo,4,Chitambo,101003006,Chalilo
1,Central,3,Chitambo,4,Chitambo,101003007,Lusenga
1,Central,3,Chitambo,4,Chitambo,101003008,Muchinka
1,Central,3,Chitambo,4,Chitambo,101003009,Chitambo
1,Central,3,Chitambo,4,Chitambo,101003010,Nakatambo
1,Central,5,Kabwe,4,Chitambo,101003010,Nakatambo
1,Central,5,Kabwe,6,Bwacha,101003010,Nakatambo
1,Central,5,Kabwe,6,Bwacha,101005001,Kang'Omba
1,Central,5,Kabwe,6,Bwacha,101005002,Chinyanja
1,Central,5,Kabwe,6,Bwacha,101005003,Munyama
1,Central,5,Kabwe,6,Bwacha,101005004,Munga
1,Central,5,Kabwe,6,Bwacha,101005005,Chililalila
1,Central,5,Kabwe,6,Bwacha,101005006,Moomba
1,Central,5,Kabwe,6,Bwacha,101005007,Zambezi
1,Central,5,Kabwe,6,Bwacha,101005008,Makululu
1,Central,5,Kabwe,6,Bwacha,101005009,Ben Kapufi
1,Central,5,Kabwe,6,Bwacha,101005010,Muwowo West
1,Central,5,Kabwe,6,Bwacha,101005011,Muwowo East
1,Central,5,Kabwe,6,Bwacha,101005012,Ngungu
1,Central,5,Kabwe,6,Bwacha,101005013,Chimanimani
1,Central,5,Kabwe,6,Bwacha,101005014,Bwacha
1,Central,5,Kabwe,6,Bwacha,101005015,Kawama
1,Central,5,Kabwe,7,Kabwe Central,101005015,Kawama
1,Central,5,Kabwe,7,Kabwe Central,101005016,Luangwa
1,Central,5,Kabwe,7,Kabwe Central,101005017,Lukanga
1,Central,5,Kabwe,7,Kabwe Central,101005018,Kalonga
1,Central,5,Kabwe,7,Kabwe Central,101005019,Nakoli
1,Central,5,Kabwe,7,Kabwe Central,101005020,Kaputula
1,Central,5,Kabwe,7,Kabwe Central,101005021,Mpima
1,Central,5,Kabwe,7,Kabwe Central,101005022,Luansase
1,Central,5,Kabwe,7,Kabwe Central,101005023,Waya
1,Central,5,Kabwe,7,Kabwe Central,101005024,Katondo
1,Central,5,Kabwe,7,Kabwe Central,101005025,Chirwa
1,Central,5,Kabwe,7,Kabwe Central,101005026,Njanji
1,Central,5,Kabwe,7,Kabwe Central,101005027,Highridge
1,Central,5,Kabwe,7,Kabwe Central,101005028,Justine Kabwe
1,Central,5,Kabwe,7,Kabwe Central,101005029,David Ramushu
1,Central,6,Kapiri Mposhi,7,Kabwe Central,101005029,David Ramushu
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101005029,David Ramushu
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006001,Kashitu
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006002,Kasanta
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006003,Mushimbili
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006004,Kapiri Mposhi
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006005,Muteteshi
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006006,Lunchu
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006007,Lunsemfwa
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006008,Chang'Ondo
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006009,Kakwelesa
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006010,Mubofwe
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006011,Kampumba
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006012,Nchembwe
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006013,Chibwelelo
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006014,Kabwale
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006015,Imansa
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006016,Lukanga
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006017,Mpunde
1,Central,6,Kapiri Mposhi,8,Kapiri Mposhi,101006018,Munga
1,Central,7,Luano,8,Kapiri Mposhi,101006018,Munga
1,Central,7,Luano,9,Mkushi South,101006018,Munga
1,Central,7,Luano,9,Mkushi South,101007001,Mibanga
1,Central,7,Luano,9,Mkushi South,101007002,Munda
1,Central,7,Luano,9,Mkushi South,101007003,Katukutu
1,Central,7,Luano,9,Mkushi South,101007004,Lwambulu
1,Central,7,Luano,9,Mkushi South,101007005,Kamimbya
1,Central,7,Luano,9,Mkushi South,101007006,Lundashi
1,Central,7,Luano,9,Mkushi South,101007007,Nkomashi
1,Central,7,Luano,9,Mkushi South,101007008,Muswishi
1,Central,7,Luano,9,Mkushi South,101007009,Ching
1,Central,7,Luano,9,Mkushi South,101007010,Chipaba
1,Central,7,Luano,9,Mkushi South,101007011,Mwalala
1,Central,7,Luano,9,Mkushi South,101007012,Chimika
1,Central,8,Mkushi,9,Mkushi South,101007012,Chimika
1,Central,8,Mkushi,10,Mkushi North,101007012,Chimika
1,Central,8,Mkushi,10,Mkushi North,101008001,Chitina
1,Central,8,Mkushi,10,Mkushi North,101008002,Nkumbi
1,Central,8,Mkushi,10,Mkushi North,101008003,Musofu
1,Central,8,Mkushi,10,Mkushi North,101008004,Munsakamba
1,Central,8,Mkushi,10,Mkushi North,101008005,Chibefwe
